Principio Attivo,Descrizione Gruppo Equivalenza,Denominazione e Confezione,Prezzo al pubblico €,Prezzo Ex-factory €,Prezzo massimo di cessione €,Ditta,"Codice 
AIC",Codice Gruppo Equivalenza,Metri cubi ossigeno 
Sulprostone,SULPROSTONE 0 5MG 2ML 1 UNITA' USO PARENTERALE,NALADOR*1 fiala EV 0 5 mg 2 ml,22 24,10 11,-,BAYER SpA,025998030,BLP,
Naloxone,NALOXONE 0 4MG 1ML 10 UNITA' USO PARENTERALE,NALOXONE*10 fiale 1 ml 0 4 mg,38 72,23 47,-,B.BRAUN MILANO SpA,037976026,BEV,
Vinorelbina,VINORELBINA 10MG 1ML 1 UNITA' USO PARENTERALE,NAVELBINE 10*1 flacone EV 10 mg 1 ml 10 mg/ml,35 99,16 35,-,PIERRE FABRE PHARMA Srl,027865082,BPU,
Vinorelbina,VINORELBINA 50MG 5ML 1 UNITA' USO PARENTERALE,NAVELBINE 50*1 flacone EV 50 mg 5 ml 10 mg/ml,167 71,76 24,-,PIERRE FABRE PHARMA Srl,027865094,BPX,
Amikacina,AMIKACINA 500MG 5 UNITA' USO PARENTERALE,NEKACIN*5 fiale IM EV 500 mg 2 ml,30 06,13 66,-,NEW RESEARCH Srl,033190024,ADP,
Immunoglobulina Umana Antiepatite B,IMMUNOGLOBULINA UMANA ANTIEPATITE B 500UI 10ML 1 UNITA' USO PARENTERALE EV,NEOHEPATECT*1 fiala EV 500 UI 10 ml,321 83,195 00,-,BIOTEST ITALIA Srl,035561024,AUS,
Immunoglobulina Umana Antiepatite B,IMMUNOGLOBULINA UMANA ANTIEPATITE B 100UI 2ML 1 UNITA' USO PARENTERALE EV,NEOHEPATECT*1 flacone EV 100 UI 2 ml,80 36,48 69,-,BIOTEST ITALIA Srl,035561012,AUL,
Immunoglobulina Umana Antiepatite B,IMMUNOGLOBULINA UMANA ANTIEPATITE B 2.000UI 40ML 1 UNITA' USO PARENTERALE EV,NEOHEPATECT*1 flacone EV 2.000 UI 40 ml,1.156 93,701 00,-,BIOTEST ITALIA Srl,035561036,AUM,
Immunoglobulina Umana Antiepatite B,IMMUNOGLOBULINA UMANA ANTIEPATITE B 5.000UI 100ML 1 UNITA' USO PARENTERALE EV,NEOHEPATECT*1 flacone EV 5.000 UI 100 ml,2.698 40,1.635 00,-,BIOTEST ITALIA Srl,035561048,FKD,
Benzalconio cloruro/etanolo,BENZALCONIO+ETANOLO 0 25% + 70% 1.000ML 12 UNITA' USO ESTERNO,NEOMEDIL*soluz cutanea 12 flaconi 1 lt 0 25% + 70%,100 72,61 03,-,NUOVA FARMEC Srl,033115104,AFY,
Benzalconio cloruro/etanolo,BENZALCONIO+ETANOLO 0 25% + 70% 500ML 20 UNITA' USO ESTERNO,NEOMEDIL*soluz cutanea 20 flaconi 500 ml 0 25% + 70%,88 63,53 70,-,NUOVA FARMEC Srl,033115092,AGB,
Benzalconio cloruro/etanolo,BENZALCONIO+ETANOLO 0 25% + 70% 250ML 24 UNITA' USO ESTERNO,NEOMEDIL*soluz cutanea 24 flaconi 250 ml 0 25% + 70%,67 15,40 69,-,NUOVA FARMEC Srl,033115078,AFZ,
Benzalconio cloruro/etanolo,BENZALCONIO+ETANOLO 0 25% + 70% 1.000ML 12 UNITA' USO ESTERNO,NEOMEDIL*soluz cutanea bruna 12 flaconi 1 lt,83 93,50 85,-,NUOVA FARMEC Srl,033115080,AFY,
Somatostatina,SOMATOSTATINA 3MG 2ML 1 UNITA' USO PARENTERALE,NEOSTESIN*1 fiala EV 3 mg + 1 fiala solv,105 69,48 04,-,PH&T SpA,033134026,BKZ,
Sodio neridronato,SODIO NERIDRONATO 100MG 2 UNITA' USO PARENTERALE,NERIXIA*2 fiale EV 100 mg,100 00,60 58,-,ABIOGEN PHARMA SpA,035268022,BKR,
Tossina botulinica di clostridium botulinum Tipo B,TOSSINA BOTULINICA DI CLOSTRIDIUM BOTULINUM TIPO B 5.000UI 1ML 1 UNITA' USO PARENTERALE,NEUROBLOC*1 fiala IM 1 ml 5.000 U/ml,200 32,121 38,-,EISAI Srl,035193022,BNP,
Tossina botulinica di clostridium botulinum Tipo B,TOSSINA BOTULINICA DI CLOSTRIDIUM BOTULINUM TIPO B 10.000UI 2ML 1 UNITA' USO PARENTERALE,NEUROBLOC*1 fiala IM 2 ml 5.000 U/ml,380 61,230 61,-,EISAI Srl,035193034,BNQ,
Nepafenac,NEPAFENAC 5ML 1MG/ML SOLUZIONE USO OFTALMICO,NEVANAC*coll 5 ml 1 mg/ml,18 10,10 96,-,ALCON ITALIA SpA,038813010,PZX,
Nevirapina,NEVIRAPINA 200MG 60 UNITA' USO ORALE,NEVIRAPINA*60 cpr 200 mg,115 36,69 90,-,SANDOZ SpA,040667014,BFE,
Nevirapina,NEVIRAPINA 200MG 60 UNITA' USO ORALE,NEVIRAPINA*60 cpr 200 mg,115 36,69 90,-,TEVA ITALIA Srl,042019012,BFE,
Nevirapina,NEVIRAPINA 200MG 60 UNITA' USO ORALE,NEVIRAPINA*60 cpr 200 mg,115 36,69 90,-,SANDOZ SpA,042527022,BFE,
Sorafenib,SORAFENIB 200MG 112 UNITA' USO ORALE,NEXAVAR*112 cpr riv 200 mg,5.305 59,3.214 71,-,BAYER SpA,037154010,BLB,
Esomeprazolo,ESOMEPRAZOLO 40MG 1 UNITA' USO PARENTERALE,NEXIUM*1 flaconcino EV 40 mg,8 58,5 20,-,ASTRAZENECA SpA,034972531,APF,
Nimodipina,NIMODIPINA 10MG 50ML 1 UNITA' USO PARENTERALE,NIMOTOP*1 flaconcino EV 10 mg 50 ml + deflussore,18 60,8 46,-,BAYER SpA,026403079,BFJ,
Pentostatina,PENTOSTATINA 10MG 1 UNITA' USO PARENTERALE,NIPENT*1 flacone EV 10 mg polv,1.420 98,645 91,-,HOSPIRA ITALIA Srl,028645012,BHU,
Nitroglicerina,NITROGLICERINA 50MG 50ML 1 UNITA' USO PARENTERALE,NITROGLICERINA*1 flacone 50 mg 50 ml,10 76,6 52,-,BIOINDUSTRIA L.I.M. SpA,035642014,BFM,
Nitroglicerina,NITROGLICERINA 25MG 5ML 10 UNITA' USO PARENTERALE,NITROGLICERINA*10 fiale 25 mg 5 ml,79 76,36 25,-,PH&T SpA,033714027,BFK,
Nitroglicerina,NITROGLICERINA 25MG 5ML 10 UNITA' USO PARENTERALE,NITROGLICERINA*10 fiale 25 mg/5 ml,59 84,36 25,-,HOSPIRA ITALIA Srl,037939028,BFK,
Nitroglicerina,NITROGLICERINA 5MG 1ML 10 UNITA' USO PARENTERALE,NITROGLICERINA*10 fiale 5 mg 1 ml,26 01,11 83,-,PH&T SpA,033714015,BFQ,
Nitroglicerina,NITROGLICERINA 5MG 1 5ML 10 UNITA' USO PARENTERALE,NITROGLICERINA*10 fiale 5 mg 1 5 ml,19 51,11 83,-,BIOINDUSTRIA L.I.M. SpA,035642026,BFO,
Nitroglicerina,NITROGLICERINA 5MG 1ML 10 UNITA' USO PARENTERALE,NITROGLICERINA*10 fiale 5 mg/ml,19 51,11 83,-,HOSPIRA ITALIA Srl,037939016,BFQ,
Nitroglicerina,NITROGLICERINA 50MG 50ML 5 UNITA' USO PARENTERALE,NITROGLICERINA*5 fiale 50 mg,79 76,36 25,-,PH&T SpA,033714041,BFN,
Nitroglicerina,NITROGLICERINA 50MG 50ML 5 UNITA' USO PARENTERALE,NITROGLICERINA*5 flaconi 50 mg/50 ml,59 84,36 25,-,HOSPIRA ITALIA Srl,037939030,BFN,
Isosorbide dinitrato,ISOSORBIDE DINITRATO 5MG 10ML 10 UNITA' USO PARENTERALE,NITROSORBIDE*10 fiale EV 5 mg 10 ml,3 59,1 63,-,IST.LUSOFARMACO D'ITALIA SpA,020925069,BBX,
Immunoglobulina Umana Antiepatite B,IMMUNOGLOBULINA UMANA ANTIEPATITE B 250UI 20ML 1 UNITA' USO PARENTERALE EV,NIULIVA*1 flacone infus 20 ml 250 UI/ml,2.698 42,1.635 00,-,GRIFOLS ITALIA SpA,038445033,AUP,
Immunoglobulina Umana Antiepatite B,IMMUNOGLOBULINA UMANA ANTIEPATITE B 250UI 40ML 1 UNITA' USO PARENTERALE EV,NIULIVA*1 flacone infus 40 ml 250 UI/ml,5.396 84,3.270 00,-,GRIFOLS ITALIA SpA,038445045,AUQ,
Immunoglobulina Umana Antiepatite B,IMMUNOGLOBULINA UMANA ANTIEPATITE B 250UI 4ML 1 UNITA' USO PARENTERALE EV,NIULIVA*1 siringa infus 4 ml 250 UI/ml,539 68,327 00,-,GRIFOLS ITALIA SpA,038445021,AUR,
Noradrenalina,NORADRENALINA 2MG 1ML 10 UNITA' USO PARENTERALE,NORADRENALINA TARTRATO*10 fiale EV 1 ml 2 mg/ml,13 99,6 37,-,GALENICA SENESE Srl,034808028,BFR,
Noradrenalina,NORADRENALINA 2MG 1ML 5 UNITA' USO PARENTERALE,NORADRENALINA TARTRATO*5 fiale EV 1 ml 2 mg/ml,6 99,3 17,-,GALENICA SENESE Srl,034808016,BFS,
Vecuronio,VECURONIO 10MG 10 UNITA' USO PARENTERALE,NORCURON*10 flaconcini EV 10 mg,92 68,42 13,-,MSD ITALIA Srl,026566048,BPL,
Eparina sodica,EPARINA SODICA 25.000UI 10 UNITA' USO PARENTERALE,NORMOPARIN*10 fiale EV 25.000 UI 5 ml,53 62,32 49,-,FARMACEUTICI CABER SpA,024928119,AMZ,
Emina,EMINA 250MG 10ML 4 UNITA' USO PARENTERALE,NORMOSANG*4 fiale EV 250 mg 10 ml,3.576 26,2.166 90,-,ORPHAN EUROPE Srl,034543013,AMQ,
Ritonavir,RITONAVIR 100MG 30 UNITA' USO ORALE,NORVIR*30 cpr riv 100 mg flacone,37 47,22 71,-,ABBVIE Srl,030081057,BJI,
Ritonavir,RITONAVIR 80MG/ML 90ML 5 UNITA' USO ORALE,NORVIR*5 flaconi os 90 ml 80 mg/ml,449 58,272 40,-,ABBVIE Srl,030081018,BJK,
Mitoxantrone,MITOXANTRONE 20MG 10ML 1 UNITA' USO PARENTERALE,NOVANTRONE*1 flacone EV 20 mg 10 ml 2 mg/ml,277 64,126 20,-,MEDA PHARMA SpA,026126021,BES,
Argatroban,ARGATROBAN 250MG 2 5ML 1 UNITA' USO PARENTERALE,NOVASTAN*1 flacone infus 2 5 ml 100 mg/ml,357 49,216 60,-,MITSUBISHI TANABE PHARM.EU.LTD,037482015,AEQ,
Eptacog Alfa Attivato,EPTACOG ALFA ATTIVATO 60.000UI 1 2MG 2 2ML 1 UNITA' USO PARENTERALE,NOVOSEVEN*1 fiala EV 1 2 mg 60.000 UI + 1 fiala solv 2 2 ml,1.294 94,784 62,-,NOVO NORDISK SpA,029447012,AOP,
Eptacog Alfa Attivato,EPTACOG ALFA ATTIVATO 50.000UI 1MG 1 1ML 1 UNITA' USO PARENTERALE,NOVOSEVEN*1 flacone EV 1 mg 50.000 UI + 1 flacone solv 1 1 ml,1.079 12,653 85,-,NOVO NORDISK SpA,029447048,AOO,
Eptacog Alfa Attivato,EPTACOG ALFA ATTIVATO 100.000UI 2MG 2 1ML 1 UNITA' USO PARENTERALE,NOVOSEVEN*1 flacone EV 2 mg 100.000 UI + 1 flacone solv 2 1 ml,2.158 24,1.307 70,-,NOVO NORDISK SpA,029447051,AOM,
Eptacog Alfa Attivato,EPTACOG ALFA ATTIVATO 250.000UI 5MG 5 2ML 1 UNITA' USO PARENTERALE,NOVOSEVEN*1 flacone EV 5 mg 250.000 UI + 1 flacone solv 5 2 ml,5.395 61,3.269 25,-,NOVO NORDISK SpA,029447063,AON,
Catridecacog (fattore XIII di coagulazione  ricombinante),CATRIDECACOG (FATTORE XIII DI COAGULAZIONE  RICOMBINANTE) 2.500UI 3 2ML 1 UNITA' USO PARENTERALE,NOVOTHIRTEEN*1 flaconcino 2.500 UI + 1 flaconcino 3 2 ml,33.274 19,20.161 29,-,NOVO NORDISK SpA,043034014,CAK,
Romiplostim,ROMIPLOSTIM 250MCG 0 72ML 1 UNITA' USO PARENTERALE,NPLATE*1 flaconcino 250 mcg polv + solv,897 42,543 76,-,AMGEN Srl,039002050,BJQ,
Romiplostim,ROMIPLOSTIM 500MCG 1 2ML 1 UNITA' USO PARENTERALE,NPLATE*1 flaconcino 500 mcg polv + solv,1.794 84,1.087 51,-,AMGEN Srl,039002074,BJT,
Aminoacidi,AMINOACIDI 1 1% 2.000ML 1 UNITA' USO PARENTERALE,NUTRINEAL PD4*1 sacca 2.000 ml 1 1%,21 24,9 66,-,BAXTER SpA,029204029,ADQ,
Immunoglobulina Umana Normale,IMMUNOGLOBULINA UMANA NORMALE 5G 100ML 1 UNITA' USO PARENTERALE,OCTAGAM*1 flacone EV 100 ml 5%,415 90,252 00,-,OCTAPHARMA ITALY SPA,035143027,AVR,
Immunoglobulina Umana Normale,IMMUNOGLOBULINA UMANA NORMALE 10G 200ML 1 UNITA' USO PARENTERALE,OCTAGAM*1 flacone EV 200 ml 5%,831 80,504 00,-,OCTAPHARMA ITALY SPA,035143039,AVC,
Immunoglobulina Umana Normale,IMMUNOGLOBULINA UMANA NORMALE 2 5G 50ML 1 UNITA' USO PARENTERALE,OCTAGAM*1 flacone EV 50 ml 5%,207 95,126 00,-,OCTAPHARMA ITALY SPA,035143015,AVK,
Immunoglobulina Umana Normale,IMMUNOGLOBULINA UMANA NORMALE 1 65G 10ML 1 UNITA' USO PARENTERALE,OCTANORM*1 flaconcino SC 10 ml 165 mg/ml,130 38,79 00,-,OCTAPHARMA ITALY SPA,040652012,FKF,
Immunoglobulina Umana Normale,IMMUNOGLOBULINA UMANA NORMALE 3 3G 20ML 1 UNITA' USO PARENTERALE,OCTANORM*1 flaconcino SC 20 ml 165 mg/ml,260 76,158 00,-,OCTAPHARMA ITALY SPA,040652048,FKQ,
Immunoglobulina Umana Normale,IMMUNOGLOBULINA UMANA NORMALE 1 65G 10ML 10 UNITA' USO PARENTERALE,OCTANORM*10 flaconcini SC 10 ml 165 mg/ml,1.303 85,790 02,-,OCTAPHARMA ITALY SPA,040652024,FKG,
Immunoglobulina Umana Normale,IMMUNOGLOBULINA UMANA NORMALE 3 3G 20ML 10 UNITA' USO PARENTERALE,OCTANORM*10 flaconcini SC 20 ml 165 mg/ml,2.607 70,1.580 04,-,OCTAPHARMA ITALY SPA,040652051,FKR,
Immunoglobulina Umana Normale,IMMUNOGLOBULINA UMANA NORMALE 1 65G 10ML 20 UNITA' USO PARENTERALE,OCTANORM*20 flaconcini SC 10 ml 165 mg/ml,2.607 70,1.580 04,-,OCTAPHARMA ITALY SPA,040652036,FKH,
Immunoglobulina Umana Normale,IMMUNOGLOBULINA UMANA NORMALE 3 3G 20ML 20 UNITA' USO PARENTERALE,OCTANORM*20 flaconcini SC 20 ml 165 mg/ml,5.215 40,3.160 08,-,OCTAPHARMA ITALY SPA,040652063,FKS,
Proteine Plasmatiche Umane,PROTEINE PLASMATICHE UMANE 200ML 1 UNITA' USO PARENTERALE,OCTAPLAS*1 sacca EV 200 ml,-,-,75 00,OCTAPHARMA ITALY SPA,034540017,BIX,
Pentetreotide,PENTETREOTIDE 10MCG USO PARENTERALE,OCTREOSCAN 111*flacone A + flacone B 10 mcg, -,-,-,MALLINCKRODT MEDICAL B.V.,029852011,BHT,
Omeprazolo,OMEPRAZOLO 40MG 1 UNITA' USO PARENTERALE,OMEPRAZEN*1 flaconcino EV 40 mg,8 58,3 90,-,MALESCI SpA IST.FARMACOBIOL.,026803027,BGI,
Omeprazolo,OMEPRAZOLO 40MG 1 UNITA' USO PARENTERALE,OMEPRAZOLO*1 flaconcino EV 40 mg 10 ml,4 95,3 00,-,SANDOZ SpA,038187011,BGI,
Omeprazolo,OMEPRAZOLO 40MG 5 UNITA' USO PARENTERALE,OMEPRAZOLO*5 flaconcini EV 40 mg,31 41,19 04,-,MYLAN SpA,039193014,BGJ,
Omeprazolo,OMEPRAZOLO 40MG 5 UNITA' USO PARENTERALE,OMEPRAZOLO*5 flaconcini EV 40 mg 10 ml,31 41,19 04,-,SANDOZ SpA,038187023,BGJ,
Ioexolo,IOEXOLO 300MG I/ML 100ML 1 UNITA' USO PARENTERALE,OMNIPAQUE*1 flacone 300 mg I/ml 100 ml,69 87,31 76,-,GE HEALTHCARE Srl,025477050,AWS,
Ioexolo,IOEXOLO 300MG I/ML 100ML 1 UNITA' USO PARENTERALE,OMNIPAQUE*1 flacone 300 mg I/ml 100 ml,69 87,31 76,-,GE HEALTHCARE Srl,025477148,AWS,
Ioexolo,IOEXOLO 300MG I/ML 20ML 1 UNITA' USO PARENTERALE,OMNIPAQUE*1 flacone 300 mg I/ml 20 ml,14 39,6 55,-,GE HEALTHCARE Srl,025477035,AWU,
Ioexolo,IOEXOLO 300MG I/ML 200ML 1 UNITA' USO PARENTERALE,OMNIPAQUE*1 flacone 300 mg I/ml 200 ml,139 75,63 53,-,GE HEALTHCARE Srl,025477098,AWT,
Ioexolo,IOEXOLO 300MG I/ML 200ML 1 UNITA' USO PARENTERALE,OMNIPAQUE*1 flacone 300 mg I/ml 200 ml,139 75,63 53,-,GE HEALTHCARE Srl,025477151,AWT,
Ioexolo,IOEXOLO 300MG I/ML 50ML 1 UNITA' USO PARENTERALE,OMNIPAQUE*1 flacone 300 mg I/ml 50 ml,35 46,16 12,-,GE HEALTHCARE Srl,025477047,AWW,
Ioexolo,IOEXOLO 300MG I/ML 50ML 1 UNITA' USO PARENTERALE,OMNIPAQUE*1 flacone 300 mg I/ml 50 ml,26 60,16 12,-,GE HEALTHCARE Srl,025477237,AWW,
Ioexolo,IOEXOLO 300MG I/ML 500ML 1 UNITA' USO PARENTERALE,OMNIPAQUE*1 flacone 300 mg I/ml 500 ml,349 37,158 80,-,GE HEALTHCARE Srl,025477100,AWV,
Ioexolo,IOEXOLO 300MG I/ML 500ML 1 UNITA' USO PARENTERALE,OMNIPAQUE*1 flacone 300 mg I/ml 500 ml,349 37,158 80,-,GE HEALTHCARE Srl,025477163,AWV,
Ioexolo,IOEXOLO 300MG I/ML 75ML 1 UNITA' USO PARENTERALE,OMNIPAQUE*1 flacone 300 mg I/ml 75 ml,45 99,20 90,-,GE HEALTHCARE Srl,025477086,AWX,
Ioexolo,IOEXOLO 300MG I/ML 75ML 1 UNITA' USO PARENTERALE,OMNIPAQUE*1 flacone 300 mg I/ml 75 ml,45 99,20 90,-,GE HEALTHCARE Srl,025477136,AWX,
Ioexolo,IOEXOLO 350MG I/ML 100ML 1 UNITA' USO PARENTERALE,OMNIPAQUE*1 flacone 350 mg I/ml 100 ml,76 20,34 64,-,GE HEALTHCARE Srl,025477074,AWY,
Ioexolo,IOEXOLO 350MG I/ML 100ML 1 UNITA' USO PARENTERALE,OMNIPAQUE*1 flacone 350 mg I/ml 100 ml,76 20,34 64,-,GE HEALTHCARE Srl,025477175,AWY,
Ioexolo,IOEXOLO 350MG I/ML 200ML 1 UNITA' USO PARENTERALE,OMNIPAQUE*1 flacone 350 mg I/ml 200 ml,152 42,69 27,-,GE HEALTHCARE Srl,025477112,AWZ,
Ioexolo,IOEXOLO 350MG I/ML 200ML 1 UNITA' USO PARENTERALE,OMNIPAQUE*1 flacone 350 mg I/ml 200 ml,152 42,69 27,-,GE HEALTHCARE Srl,025477187,AWZ,
Ioexolo,IOEXOLO 350MG I/ML 50ML 1 UNITA' USO PARENTERALE,OMNIPAQUE*1 flacone 350 mg I/ml 50 ml,38 10,17 32,-,GE HEALTHCARE Srl,025477062,AXG,
Ioexolo,IOEXOLO 350MG I/ML 50ML 1 UNITA' USO PARENTERALE,OMNIPAQUE*1 flacone 350 mg I/ml 50 ml,28 59,17 32,-,GE HEALTHCARE Srl,025477249,AXG,
Ioexolo,IOEXOLO 350MG I/ML 500ML 1 UNITA' USO PARENTERALE,OMNIPAQUE*1 flacone 350 mg I/ml 500 ml,381 03,173 19,-,GE HEALTHCARE Srl,025477124,AXF,
Ioexolo,IOEXOLO 350MG I/ML 500ML 1 UNITA' USO PARENTERALE,OMNIPAQUE*1 flacone 350 mg I/ml 500 ml,381 03,173 19,-,GE HEALTHCARE Srl,025477199,AXF,
Gadodiamide,GADODIAMIDE 5MMOL 10ML 1 UNITA' USO PARENTERALE,OMNISCAN*1 fiala EV 10 ml 0 5 mmol/ml,35 77,21 67,-,GE HEALTHCARE Srl,028993018,ASO,
Gadodiamide,GADODIAMIDE 7 5MMOL 15ML 1 UNITA' USO PARENTERALE,OMNISCAN*1 fiala EV 15 ml 0 5 mmol/ml,53 62,32 49,-,GE HEALTHCARE Srl,028993020,ASP,
Gadodiamide,GADODIAMIDE 10MMOL 20ML 1 UNITA' USO PARENTERALE,OMNISCAN*1 fiala EV 20 ml 0 5 mmol/ml,71 52,43 33,-,GE HEALTHCARE Srl,028993032,ASL,
Gadodiamide,GADODIAMIDE 5MMOL 10ML 1 UNITA' USO PARENTERALE,OMNISCAN*1 siringa EV 10 ml 0 5 mmol/ml,35 77,21 67,-,GE HEALTHCARE Srl,028993069,ASO,
Gadodiamide,GADODIAMIDE 7 5MMOL 15ML 1 UNITA' USO PARENTERALE,OMNISCAN*1 siringa EV 15 ml 0 5 mmol/ml,53 62,32 49,-,GE HEALTHCARE Srl,028993071,ASP,
Gadodiamide,GADODIAMIDE 10MMOL 20ML 1 UNITA' USO PARENTERALE,OMNISCAN*1 siringa EV 20 ml 0 5 mmol/ml,71 52,43 33,-,GE HEALTHCARE Srl,028993083,ASL,
Gadodiamide,GADODIAMIDE 25MMOL 50ML 10 UNITA' USO PARENTERALE,OMNISCAN*10 flaconcini EV 50 ml 0 5 mmol/ml,1.544 61,935 91,-,GE HEALTHCARE Srl,028993057,ASN,
Cfu di Tice BCG,CFU DI TICE BCG 2ML 3 UNITA' USO ENDOVESCICALE,ONCOTICE*3 flaconcini 2 ml + tappo,414 49,188 40,-,MSD ITALIA Srl,028346029,AHZ,
Ondansetrone,ONDANSETRONE 4MG 10 UNITA' USO PARENTERALE,ONDANSETRON*10 fiale EV 2 ml 2 mg/ml,47 06,28 52,-,FRESENIUS KABI ITALIA Srl,037389032,BGL,
Ondansetrone,ONDANSETRONE 8MG 10 UNITA' USO PARENTERALE,ONDANSETRON*10 fiale EV 4 ml 2 mg/ml,94 88,57 49,-,FRESENIUS KABI ITALIA Srl,037389069,BGN,
Ondansetrone,ONDANSETRONE 4MG 5 UNITA' USO PARENTERALE,ONDANSETRON*5 fiale 2 ml 2 mg/ml,23 54,14 26,-,B.BRAUN MILANO SpA,038128017,BGM,
Ondansetrone,ONDANSETRONE 4MG 10 UNITA' USO PARENTERALE,ONDANSETRONE*10 fiale 2 ml 2 mg/ml,47 06,28 52,-,ACCORD HEALTHCARE ITALIA Srl,040469025,BGL,
Ondansetrone,ONDANSETRONE 8MG 10 UNITA' USO PARENTERALE,ONDANSETRONE*10 fiale 4 ml 2 mg/ml,94 88,57 49,-,ACCORD HEALTHCARE ITALIA Srl,040469049,BGN,
Ondansetrone,ONDANSETRONE 4MG 10 UNITA' USO PARENTERALE,ONDANSETRONE*10 fiale EV 2 ml 2 mg/ml,47 06,28 52,-,MYLAN SpA,037549045,BGL,
Ondansetrone,ONDANSETRONE 8MG 10 UNITA' USO PARENTERALE,ONDANSETRONE*10 fiale EV 4 ml 2 mg/ml,94 88,57 49,-,MYLAN SpA,037549084,BGN,
Ondansetrone,ONDANSETRONE 4MG 5 UNITA' USO PARENTERALE,ONDANSETRONE*5 fiale 2 ml 2 mg/ml,23 54,14 26,-,ACCORD HEALTHCARE ITALIA Srl,040469013,BGM,
Ondansetrone,ONDANSETRONE 8MG 5 UNITA' USO PARENTERALE,ONDANSETRONE*5 fiale 4 ml 2 mg/ml,47 44,28 75,-,ACCORD HEALTHCARE ITALIA Srl,040469037,BGO,
Ondansetrone,ONDANSETRONE 4MG 5 UNITA' USO PARENTERALE,ONDANSETRONE*5 fiale EV 4 mg 2 ml,23 54,14 26,-,HIKMA FARMACEUTICA S.A.,038344014,BGM,
Ondansetrone,ONDANSETRONE 8MG 5 UNITA' USO PARENTERALE,ONDANSETRONE*5 fiale EV 8 mg 4 ml,47 44,28 75,-,HIKMA FARMACEUTICA S.A.,038344026,BGO,
Mitoxantrone,MITOXANTRONE 10MG 5ML 1 UNITA' USO PARENTERALE,ONKOTRONE*1 flaconcino EV 10 mg 5 ml,108 15,49 16,-,BAXTER SpA,033834019,BEQ,
Mitoxantrone,MITOXANTRONE 20MG 10ML 1 UNITA' USO PARENTERALE,ONKOTRONE*1 flaconcino EV 20 mg 10 ml,231 56,105 26,-,BAXTER SpA,033834021,BES,
Ioversolo,IOVERSOLO 30.000MG IODIO 100ML 1 UNITA' USO PARENTERALE,OPTIRAY*1 flacone EV 100 ml 300 mg/ml,69 31,31 50,-,MALLINCKRODT ITALIA SpA,027674136,BAY,
Ioversolo,IOVERSOLO 32.000MG IODIO 100ML 1 UNITA' USO PARENTERALE,OPTIRAY*1 flacone EV 100 ml 320 mg/ml,77 60,35 27,-,MALLINCKRODT ITALIA SpA,027674047,BBB,
Ioversolo,IOVERSOLO 35.000MG IODIO 100ML 1 UNITA' USO PARENTERALE,OPTIRAY*1 flacone EV 100 ml 350 mg/ml,78 38,35 63,-,MALLINCKRODT ITALIA SpA,027674163,BBD,
Ioversolo,IOVERSOLO 45.000MG IODIO 150ML 1 UNITA' USO PARENTERALE,OPTIRAY*1 flacone EV 150 ml 300 mg/ml,101 74,46 25,-,MALLINCKRODT ITALIA SpA,027674148,BBI,
Ioversolo,IOVERSOLO 52.500MG IODIO 150ML 1 UNITA' USO PARENTERALE,OPTIRAY*1 flacone EV 150 ml 350 mg/ml,117 56,53 44,-,MALLINCKRODT ITALIA SpA,027674175,BBJ,
Ioversolo,IOVERSOLO 64.000MG IODIO 200ML 1 UNITA' USO PARENTERALE,OPTIRAY*1 flacone EV 200 ml 320 mg/ml,135 24,61 47,-,MALLINCKRODT ITALIA SpA,027674062,BBK,
Ioversolo,IOVERSOLO 15.000MG IODIO 50ML 1 UNITA' USO PARENTERALE,OPTIRAY*1 flacone EV 50 ml 300 mg/ml,35 07,15 94,-,MALLINCKRODT ITALIA SpA,027674124,BAQ,
Ioversolo,IOVERSOLO 16.000MG IODIO 50ML 1 UNITA' USO PARENTERALE,OPTIRAY*1 flacone EV 50 ml 320 mg/ml,41 23,18 73,-,MALLINCKRODT ITALIA SpA,027674035,BAT,
Ioversolo,IOVERSOLO 17.500MG IODIO 50ML 1 UNITA' USO PARENTERALE,OPTIRAY*1 flacone EV 50 ml 350 mg/ml,40 35,18 34,-,MALLINCKRODT ITALIA SpA,027674151,BAV,
Ioversolo,IOVERSOLO 150.000MG IODIO 500ML 1 UNITA' USO PARENTERALE,OPTIRAY*1 flacone EV 500 ml 300 mg/ml,236 83,143 50,-,MALLINCKRODT ITALIA SpA,027674213,BAS,
Ioversolo,IOVERSOLO 160.000MG IODIO 500ML 1 UNITA' USO PARENTERALE,OPTIRAY*1 flacone EV 500 ml 320 mg/ml,252 61,153 06,-,MALLINCKRODT ITALIA SpA,027674225,BAU,
Ioversolo,IOVERSOLO 175.000MG IODIO 500ML 1 UNITA' USO PARENTERALE,OPTIRAY*1 flacone EV 500 ml 350 mg/ml,276 30,167 42,-,MALLINCKRODT ITALIA SpA,027674237,BAW,
Ioversolo,IOVERSOLO 30.000MG IODIO 100ML 10 UNITA' USO PARENTERALE,OPTIRAY*10 siringhe 100 ml 300 mg/ml,473 66,287 00,-,MALLINCKRODT ITALIA SpA,027674249,BAZ,
Ioversolo,IOVERSOLO 32.000MG IODIO 100ML 10 UNITA' USO PARENTERALE,OPTIRAY*10 siringhe EV 100 ml 320 mg/ml,505 24,306 13,-,MALLINCKRODT ITALIA SpA,027674276,BBC,
